"","coef","se"
"Xarm3",-0.188577551430439,0.010804510209134
"Xarm5",-0.187190006184896,0.0120025313255564
"Xarm6",-0.187813425521286,0.0108826218116479
"Xarm7",0.0412038604251548,0.0141502615052275
"Xarm8",-0.378298931715121,0.0117817596639345
