x1,x2,models,n,dist
-0.0226738707250861,0.236091188204186,OLS,1000,chisq
-0.0664538653970457,0.586250449332428,ologit,1000,chisq
-0.0447776778965902,0.325832091668239,oprobit,1000,chisq
-0.0813190870129205,0.244547556293337,KS,1000,chisq
-0.02,0.24,KDE,1000,chisq
-0.115047570450796,0.234856316281953,OLS,1000,chisq
-0.189051638601219,0.536742473921771,ologit,1000,chisq
-0.116526284897458,0.300169283704456,oprobit,1000,chisq
-0.0969271548174878,0.241260059542039,KS,1000,chisq
-0.12,0.23,KDE,1000,chisq
-0.039109938148476,0.217069953478384,OLS,1000,chisq
-0.0704535157109137,0.533317836865619,ologit,1000,chisq
-0.0405319729680716,0.302354790955093,oprobit,1000,chisq
-0.0560238183741198,0.218235456677564,KS,1000,chisq
-0.0400000000000555,0.219999999999945,KDE,1000,chisq
-0.087508344023522,0.247636530980401,OLS,1000,chisq
-0.178095059943944,0.562739245584372,ologit,1000,chisq
-0.105648215397303,0.305868175453375,oprobit,1000,chisq
-0.0501201308519376,0.275224025294476,KS,1000,chisq
-0.0899999999999445,0.249999999999945,KDE,1000,chisq
-0.0879657531029999,0.182715314800593,OLS,1000,chisq
-0.217046479083435,0.482268833417699,ologit,1000,chisq
-0.112302346292319,0.262302690371088,oprobit,1000,chisq
-0.0399803856413432,0.226265064066386,KS,1000,chisq
-0.09,0.18,KDE,1000,chisq
-0.0712126947304527,0.22522532925364,OLS,1000,chisq
-0.164450930489741,0.570027539413962,ologit,1000,chisq
-0.0953198879171152,0.31476668097035,oprobit,1000,chisq
-0.123601562632236,0.211947512584926,KS,1000,chisq
-0.07,0.229999999999889,KDE,1000,chisq
-0.0434015448020662,0.173331146260521,OLS,1000,chisq
-0.085559102797562,0.451047585868857,ologit,1000,chisq
-0.0488085144772257,0.247989112498038,oprobit,1000,chisq
-0.00996717518838254,0.195814965245522,KS,1000,chisq
-0.0399999999999445,0.170000000000056,KDE,1000,chisq
-0.0467852911239513,0.230579862689911,OLS,1000,chisq
-0.103811619425037,0.536081322348689,ologit,1000,chisq
-0.0567581777346115,0.304499056961393,oprobit,1000,chisq
0.00388855154380944,0.237303681701679,KS,1000,chisq
-0.05,0.230000000000056,KDE,1000,chisq
-0.00699992001291953,0.33209923820753,OLS,1000,chisq
-0.0308668346456713,0.702877572917665,ologit,1000,chisq
-0.0113320767448056,0.393972621353982,oprobit,1000,chisq
0.025116478690444,0.32980418119585,KS,1000,chisq
-0.00999999999988898,0.33,KDE,1000,chisq
-0.0311972610721728,0.252910746336373,OLS,1000,chisq
-0.0290256696409903,0.586538995492072,ologit,1000,chisq
-0.028539465586833,0.328934839071756,oprobit,1000,chisq
0.00981567031754255,0.253781512951065,KS,1000,chisq
-0.03,0.25,KDE,1000,chisq
-0.0672900848335124,0.231618693302198,OLS,1000,chisq
-0.124908332000355,0.503390569195492,ologit,1000,chisq
-0.0700865277332756,0.285171609678863,oprobit,1000,chisq
-0.0312969890881153,0.237429119648704,KS,1000,chisq
-0.07,0.229999999999989,KDE,1000,chisq
-0.0455668134334018,0.284692431733048,OLS,1000,chisq
-0.117783338107616,0.618708850733626,ologit,1000,chisq
