X1,X2,XT,X1_se,X2_se,XT_se,models,n,loc,dist
-0.672464847558429,0.677561105068404,0.445734513776564,0.0646682349112499,0.0640695343738677,0.121468535474173,ologit,1000,1,tdis
-0.361850004571532,0.366491272151598,0.232735055839259,0.0366094862175611,0.0364046272352877,0.0708738228974188,oprobit,1000,1,tdis
-0.373330217827991,0.37175273262561,0.238981007461569,0.036868757928134,0.0361083627468711,0.0733369909346208,OLS,1000,1,tdis
-0.378185813709969,0.361402921556865,0.230938990011413,0.0135338617730747,0.0133253592055483,0.0187372628079943,KS,1000,1,tdis
-0.676873946724769,0.727658741945564,0.369709100916365,0.0654009034865386,0.0669622312050906,0.12264433495441,ologit,1000,1,tdis
-0.361916779206513,0.385283931179314,0.192542606001733,0.0367071819563857,0.0371057999704629,0.0711843575521347,oprobit,1000,1,tdis
-0.361436501937468,0.386697796765246,0.188606704167326,0.0358037239112848,0.0359829061211193,0.0719263301263851,OLS,1000,1,tdis
-0.361436501937467,0.386697796765245,0.188606704167325,0.0137835576025526,0.0134970210616329,0.0180386357557455,KS,1000,1,tdis
-0.782098880130067,0.781041563242078,0.35043525963287,0.0692030690688215,0.067465382089317,0.124043611555216,ologit,1000,1,tdis
-0.408346203047933,0.414645844408168,0.180629231460211,0.0384992358855306,0.0373950726624218,0.0715917742957094,oprobit,1000,1,tdis
-0.395295793941671,0.400105839078848,0.172839813420539,0.0359703118555804,0.0345526257451897,0.0695081057481654,OLS,1000,1,tdis
-0.395295793941671,0.400105839078848,0.172839813420539,0.0143390819396338,0.0135322044409548,0.0176989609774736,KS,1000,1,tdis
-0.720851966555854,0.778108912030887,0.381104560097155,0.0652043612608955,0.0674022354867621,0.123350865016734,ologit,1000,1,tdis
-0.396340865232883,0.429021013302985,0.202482410829057,0.0368194366137106,0.0381463845873422,0.0715230590375801,oprobit,1000,1,tdis
-0.38527255126533,0.416846356229367,0.199575985200636,0.0347517164716111,0.0356879149107767,0.07054984491226,OLS,1000,1,tdis
-0.385272551265328,0.41684635622937,0.199575985200636,0.01457414884177,0.0144439347698494,0.0195006534429773,KS,1000,1,tdis
-0.765957006601642,0.753752416509764,0.376521479118366,0.0697043402532909,0.0670850644792377,0.122793849048699,ologit,1000,1,tdis
-0.402752191347302,0.404141198972072,0.198579672416871,0.0383188680091421,0.0373847335063856,0.0712217267556504,oprobit,1000,1,tdis
-0.40111262808425,0.400915458403953,0.200113919542852,0.0369209748847998,0.0358276539197689,0.0711950142133368,OLS,1000,1,tdis
-0.40111262808425,0.400915458403953,0.200113919542852,0.0149065908270598,0.013922289268411,0.0183462938396912,KS,1000,1,tdis
-0.803114602839593,0.779386502463723,0.377771216939152,0.0671010310288772,0.0658326787506378,0.124915816315267,ologit,1000,1,tdis
-0.431104336624539,0.404880856614647,0.176484658451469,0.0375570668947653,0.0361860906759295,0.0720624531678724,oprobit,1000,1,tdis
-0.409288664243277,0.384103798441433,0.169194865533715,0.033786482760212,0.0328630844247211,0.0683645622871195,OLS,1000,1,tdis
-0.409288664243278,0.384103798441433,0.169194865533715,0.0148574954372917,0.0140231237701028,0.0213326995520851,KS,1000,1,tdis
-0.770795492748637,0.720726269990888,0.291485237561776,0.0675315584887745,0.0661273130887202,0.123214315222035,ologit,1000,1,tdis
-0.413974456111615,0.386255697136255,0.124790797663391,0.0378927701802942,0.0370086009826292,0.0714712738263386,oprobit,1000,1,tdis
-0.407501300391951,0.380967655311185,0.126290493764336,0.035954105268403,0.0352174731617096,0.0710611116464236,OLS,1000,1,tdis
-0.407501300391951,0.380967655311185,0.126290493764335,0.0150208382262197,0.0139023897816787,0.0180911977781307,KS,1000,1,tdis
-0.906169037500101,0.816852144095504,0.515775422194748,0.067570941233858,0.0697545856022374,0.125231169044671,ologit,1000,1,tdis
-0.476406051600814,0.41914285665379,0.260059135141152,0.0370723817332646,0.0379830995787733,0.0720142838253036,oprobit,1000,1,tdis
-0.461406472166031,0.405134942240419,0.257366208491155,0.0335438444011091,0.0349177345032082,0.0691403189486183,OLS,1000,1,tdis
-0.461406472166032,0.405134942240417,0.257366208491155,0.0142895435488198,0.0153236627603215,0.0223352005527348,KS,1000,1,tdis
-0.700770561239569,0.809621481195851,0.365960730145101,0.0638311621672103,0.0680794100209458,0.12348223578788,ologit,1000,1,tdis
-0.367113138331717,0.421990345957594,0.179379223942656,0.0359590414255303,0.0371338067016838,0.0714759248967208,oprobit,1000,1,tdis
-0.352456802423515,0.411037101118368,0.173125637255722,0.0338796203303509,0.0348258021978337,0.0704336513107479,OLS,1000,1,tdis
-0.352456802423508,0.411037101118368,0.173125637255715,0.0139557236852272,0.0135541808102956,0.0179538482514697,KS,1000,1,tdis
-0.860508807835331,0.82469263866877,0.483188041087744,0.0667400290022861,0.0668219927782833,0.125956401045719,ologit,1000,1,tdis
-0.464442920869458,0.442175719771324,0.261870533672542,0.0368885321415904,0.037219372739832,0.0727264228606865,oprobit,1000,1,tdis
-0.435130158438602,0.422541375493423,0.245876066042279,0.0328425470139666,0.0337082378331744,0.0693923879700064,OLS,1000,1,tdis
-0.435130158438603,0.422541375493422,0.245876066042278,0.0171545950507999,0.0170298740954258,0.0243685471228178,KS,1000,1,tdis
-0.799183468158369,0.791747370041953,0.416539298513511,0.0692247172022128,0.0670256429599185,0.12471331572538,ologit,1000,1,tdis
-0.43164394704697,0.42560326697681,0.228441096520961,0.0388898175193669,0.0375213504832345,0.0720002797836011,oprobit,1000,1,tdis
-0.404447049581225,0.406433409814782,0.219868511093013,0.0352332458808876,0.0343312650635166,0.0690970193408193,OLS,1000,1,tdis
-0.404447049581223,0.406433409814782,0.219868511093013,0.0148373751134423,0.0156000405366015,0.0186623806049138,KS,1000,1,tdis
-0.642049723123717,0.81275728782023,0.478622270165284,0.0651418850306728,0.0675979202802457,0.123844376174292,ologit,1000,1,tdis
-0.337087511913306,0.428501677325531,0.24521591377188,0.0368850647176432,0.0371807369327303,0.0715909533421258,oprobit,1000,1,tdis
-0.32978723348185,0.414844849877126,0.24552069514769,0.0350659493074313,0.0345728415446124,0.070330546206534,OLS,1000,1,tdis
-0.311162929335205,0.404611833428124,0.250315870409006,0.0137518777189151,0.0137317323335529,0.0171794752505332,KS,1000,1,tdis
-0.650377632895095,0.721034269593466,0.218425504404133,0.0677724236801174,0.0657165494680661,0.123237075780749,ologit,1000,1,tdis
-0.338004719177797,0.366796294695279,0.098655667970863,0.0380594641837393,0.036143559934132,0.0711342192315478,oprobit,1000,1,tdis
-0.334416939354888,0.363584728460521,0.0935858154109215,0.0365500552635419,0.0345104868806586,0.0702483117191873,OLS,1000,1,tdis
-0.334416939354888,0.36358472846052,0.0935858154109215,0.0124961295974941,0.0126348237390841,0.0165592931216001,KS,1000,1,tdis
-0.852815391329006,0.879463703202753,0.394745454956597,0.068676098111086,0.0713384427636844,0.12500609792521,ologit,1000,1,tdis
-0.46197700802712,0.457245303273643,0.191893285221498,0.0383278058605619,0.0394040308203071,0.0721662870623524,oprobit,1000,1,tdis
-0.430300992635184,0.42529040900892,0.178053515322111,0.0338944458002611,0.0350432468500922,0.0677752350360206,OLS,1000,1,tdis
-0.430300992635184,0.425290409008919,0.178053515322111,0.0160086092485112,0.015505655964225,0.0218234425456494,KS,1000,1,tdis
-0.737546500338689,0.671076052168829,0.315913279168021,0.0677999260975882,0.0670878991003979,0.124561098650061,ologit,1000,1,tdis
-0.408836265879723,0.353467676665227,0.184113601838769,0.0383055003645249,0.0375983967602281,0.0721416265311472,oprobit,1000,1,tdis
-0.39505972114859,0.339645126892874,0.181738536749992,0.0355353174957232,0.0350321240700157,0.0698584836577896,OLS,1000,1,tdis
