n,model,coef,bias,rmse,true_beta_normalized
200,flow,0,-0.08576171669684805,0.182271114917154,1.0
200,probit,0,0.00515492470921686,0.16228628203658968,1.0
200,logit,0,-0.03512927732442474,0.16546375642071529,1.0
200,flow,1,-0.07605695867103701,0.18527290167465732,0.8
200,probit,1,0.012267194887383375,0.17044803049541926,0.8
200,logit,1,-0.019264096700887537,0.16758611613244984,0.8
200,flow,2,0.06934352130301807,0.12131730500567496,-0.8
200,probit,2,-0.02855430784569938,0.1035101198424577,-0.8
200,logit,2,0.003393669889698109,0.09805668309870902,-0.8
200,flow,3,-0.08308633048737338,0.12806533274572374,0.5
200,probit,3,0.012162731264405457,0.09954287131741146,0.5
200,logit,3,-0.004988932748032226,0.09996618153219548,0.5
200,flow,4,0.08731008744140084,0.12505300433922015,-0.5
200,probit,4,-0.008241613267439482,0.09175302520012392,-0.5
200,logit,4,0.013221340912435224,0.09116672137834954,-0.5
500,flow,0,-0.07395196104839642,0.12321293811148047,1.0
500,probit,0,0.019497281606107465,0.10149185529217791,1.0
500,logit,0,-0.022511959246188443,0.09851646067945248,1.0
500,flow,1,-0.07547678234617619,0.12302121661611283,0.8
500,probit,1,0.016598331639738572,0.09919424234470454,0.8
500,logit,1,-0.018112887879062768,0.09694946602094598,0.8
500,flow,2,0.08655022062757639,0.10423855098042412,-0.8
500,probit,2,-0.011314643287915364,0.05969971070228178,-0.8
500,logit,2,0.023541476981132955,0.06206995112208818,-0.8
500,flow,3,-0.09845986460320225,0.1144028820185059,0.5
500,probit,3,-0.0022623113018640927,0.05881324280691701,0.5
500,logit,3,-0.02210047806717153,0.06364535933731122,0.5
500,flow,4,0.08630696969335543,0.10164870968387733,-0.5
500,probit,4,-0.010117482505504932,0.05563064305570736,-0.5
500,logit,4,0.010407604306421032,0.05482619867690302,-0.5
1000,flow,0,-0.07751564993285943,0.10336583995094202,1.0
1000,probit,0,0.015678545651305352,0.07150924329195096,1.0
1000,logit,0,-0.025428905308786796,0.07354682879534843,1.0
1000,flow,1,-0.08077465817199586,0.10825910467523989,0.8
1000,probit,1,0.011237571459649294,0.0747949982447583,0.8
1000,logit,1,-0.02255023294324765,0.07529461998565141,0.8
1000,flow,2,0.09161441072179663,0.10131453002881706,-0.8
1000,probit,2,-0.006236729682808631,0.04372135037768382,-0.8
1000,logit,2,0.02617470981846324,0.05055530174282886,-0.8
1000,flow,3,-0.09035670629475238,0.09655746334911203,0.5
1000,probit,3,0.006239673103789957,0.034901045204482464,0.5
1000,logit,3,-0.014353235661629528,0.036605218697751775,0.5
1000,flow,4,0.09055946762852202,0.09965342917198514,-0.5
1000,probit,4,-0.005937867101354561,0.042564708881710336,-0.5
1000,logit,4,0.01381590872697857,0.0443165908777546,-0.5
2000,flow,0,-0.08549038410861635,0.10307804125306765,1.0
2000,probit,0,0.007697599305721127,0.05882951357241728,1.0
2000,logit,0,-0.03224623832638088,0.06700295604226417,1.0
2000,flow,1,-0.09165438663189623,0.106125378593892,0.8
2000,probit,1,0.0006893023388813068,0.05372192284923815,0.8
2000,logit,1,-0.03142127944599943,0.06149653658514065,0.8
2000,flow,2,0.09431429938213233,0.09811071371384503,-0.8
2000,probit,2,-0.003464885547619566,0.027010638901893452,-0.8
2000,logit,2,0.028007770942759587,0.03884569899088708,-0.8
2000,flow,3,-0.09469215237053655,0.0975579887399961,0.5
2000,probit,3,0.0018946973908470456,0.02368493377184794,0.5
2000,logit,3,-0.01873747325303362,0.02964705973303535,0.5
2000,flow,4,0.0978555943770261,0.10189287064539168,-0.5
2000,probit,4,0.0012978348580583638,0.02878659748353555,-0.5
2000,logit,4,0.021980757558062038,0.03575637960289167,-0.5
