"n","model","coef","target","estimate","bias","rmse"
200,"ks_rescaled","x0",0.462706457376471,0.683128662338737,0.220422204962266,0.240200290183596
200,"ols_raw","x0",1,3.08969300584759,2.08969300584759,2.09745300554559
200,"ks_rescaled","x1",0.370165165901177,0.54550515211303,0.175339986211853,0.201514439989604
200,"ols_raw","x1",0.8,3.01824644792104,2.21824644792104,2.22589602832686
200,"ks_rescaled","x2",-0.370165165901177,-0.546822470273879,-0.176657304372702,0.184634080364131
200,"ols_raw","x2",-0.8,-0.369944592984662,0.430055407015338,0.459860083032002
200,"ks_rescaled","x3",0.231353228688236,0.343457748861496,0.11210452017326,0.122573594703991
200,"ols_raw","x3",0.5,0.216993818627595,-0.283006181372405,0.323926463874132
200,"ks_rescaled","x4",-0.231353228688236,-0.347762115397049,-0.116408886708814,0.130179124893085
200,"ols_raw","x4",-0.5,-0.239077857958558,0.260922142041442,0.315150459315517
500,"ks_rescaled","x0",0.462706457376471,0.698612337935694,0.235905880559223,0.243341985699434
500,"ols_raw","x0",1,3.09734019028003,2.09734019028003,2.09969405850635
500,"ks_rescaled","x1",0.370165165901177,0.564688799466269,0.194523633565092,0.20320064566252
500,"ols_raw","x1",0.8,3.00873331550889,2.20873331550889,2.21154099227086
500,"ks_rescaled","x2",-0.370165165901177,-0.558054383486068,-0.187889217584891,0.190297901356654
500,"ols_raw","x2",-0.8,-0.371060383595996,0.428939616404004,0.440688820590727
500,"ks_rescaled","x3",0.231353228688236,0.349018465141705,0.117665236453469,0.121394191592593
500,"ols_raw","x3",0.5,0.247182269188061,-0.252817730811939,0.275649934448837
500,"ks_rescaled","x4",-0.231353228688236,-0.350480127442812,-0.119126898754577,0.122181900066279
500,"ols_raw","x4",-0.5,-0.245991746674948,0.254008253325052,0.278264422703852
1000,"ks_rescaled","x0",0.462706457376471,0.708707343685096,0.246000886308624,0.253424678895985
1000,"ols_raw","x0",1,3.09382994982723,2.09382994982723,2.09518380108965
1000,"ks_rescaled","x1",0.370165165901177,0.561622906616585,0.191457740715408,0.198876564334481
1000,"ols_raw","x1",0.8,3.00549699899259,2.20549699899259,2.2066134463923
1000,"ks_rescaled","x2",-0.370165165901177,-0.563631237399698,-0.193466071498521,0.194785447250013
1000,"ols_raw","x2",-0.8,-0.37111536770843,0.42888463229157,0.43461267689697
1000,"ks_rescaled","x3",0.231353228688236,0.354291546248867,0.122938317560631,0.125757827099041
1000,"ols_raw","x3",0.5,0.232780936132369,-0.267219063867631,0.278123637108244
1000,"ks_rescaled","x4",-0.231353228688236,-0.351035759602199,-0.119682530913963,0.121840544537637
1000,"ols_raw","x4",-0.5,-0.235791255549448,0.264208744450552,0.272560583587041
2000,"ks_rescaled","x0",0.462706457376471,0.690965384311839,0.228258926935368,0.250685926850541
2000,"ols_raw","x0",1,3.08709970387685,2.08709970387685,2.08781313614693
2000,"ks_rescaled","x1",0.370165165901177,0.557132559794695,0.186967393893518,0.206187157828838
2000,"ols_raw","x1",0.8,3.01239900595616,2.21239900595616,2.21291680320449
2000,"ks_rescaled","x2",-0.370165165901177,-0.573981576535095,-0.203816410633918,0.204908250707246
2000,"ols_raw","x2",-0.8,-0.362736802439597,0.437263197560403,0.440356692545294
2000,"ks_rescaled","x3",0.231353228688236,0.354726432418756,0.12337320373052,0.124537602466761
2000,"ols_raw","x3",0.5,0.235400020855272,-0.264599979144728,0.270146026688551
2000,"ks_rescaled","x4",-0.231353228688236,-0.357978722452273,-0.126625493764037,0.127711962578894
2000,"ols_raw","x4",-0.5,-0.239923781217587,0.260076218782413,0.264381816890347
