n,model,coef,bias,rmse,true_beta_normalized
200,flow,0,-0.7958503483863586,0.8385883995290092,1.0
200,probit,0,0.02311217056965634,0.17873053011585846,1.0
200,logit,0,-0.01970381691328557,0.17525212798054235,1.0
200,flow,1,-0.6302479964397897,0.6720594986207864,0.8
200,probit,1,0.015767699358824272,0.1720406744475252,0.8
200,logit,1,-0.016573921569274955,0.1677645811893065,0.8
200,flow,2,0.6305554753643008,0.6669678115285697,-0.8
200,probit,2,-0.026207903912278258,0.10376667517475416,-0.8
200,logit,2,0.005442752537415338,0.09987076217945803,-0.8
200,flow,3,-0.40024407591160005,0.4185254042183878,0.5
200,probit,3,0.010409743809447723,0.09510261265552863,0.5
200,logit,3,-0.00861055569314758,0.0947514594146438,0.5
200,flow,4,0.39901706871078674,0.4176175962470289,-0.5
200,probit,4,-0.007684910212292343,0.09112516663020767,-0.5
200,logit,4,0.012223949060668527,0.09001863290861666,-0.5
500,flow,0,-0.8824431515908977,0.8860133605414866,1.0
500,probit,0,0.024921485060054108,0.1054605552765828,1.0
500,logit,0,-0.01719715156350644,0.10235169486279072,1.0
500,flow,1,-0.7061187286052941,0.7112323909530274,0.8
500,probit,1,0.006176624798392923,0.10077262902760761,0.8
500,logit,1,-0.02731562975310742,0.10245860146254443,0.8
500,flow,2,0.7062972985973482,0.7097769085964856,-0.8
500,probit,2,-0.01200455090527243,0.06130757058065666,-0.8
500,logit,2,0.021793803975922104,0.06299467598012341,-0.8
500,flow,3,-0.44273836186489873,0.44464203271136443,0.5
500,probit,3,0.001161493452704711,0.056532591517032486,0.5
500,logit,3,-0.01918879366499339,0.060386773280059106,0.5
500,flow,4,0.4420256237624897,0.44429851070868576,-0.5
500,probit,4,-0.007695345080086052,0.061499027938988565,-0.5
500,logit,4,0.01305157815607018,0.06159555020719164,-0.5
1000,flow,0,-0.8945278785266956,0.8978961125566328,1.0
1000,probit,0,0.012626130612813102,0.07593390654435589,1.0
1000,logit,0,-0.028155697562601882,0.07903103116316512,1.0
1000,flow,1,-0.7156893699861953,0.7175491662149495,0.8
1000,probit,1,0.010877050667204045,0.07936862549436877,0.8
1000,logit,1,-0.021496290338376384,0.08010334124929445,0.8
1000,flow,2,0.7165218448696915,0.718395796728255,-0.8
1000,probit,2,-0.005875976526202016,0.04300516787560831,-0.8
1000,logit,2,0.025967304721027772,0.04960440620358884,-0.8
1000,flow,3,-0.44784995512944886,0.4490209077344553,0.5
1000,probit,3,0.004711535949993934,0.037139586055037865,0.5
1000,logit,3,-0.015663739865703907,0.039327325132454405,0.5
1000,flow,4,0.44772729135690176,0.448735312790688,-0.5
1000,probit,4,-0.006527963726245609,0.0397485413144089,-0.5
1000,logit,4,0.013510368602964711,0.04093385254738009,-0.5
2000,flow,0,-0.9027324609642841,0.9028002412933115,1.0
2000,probit,0,0.005383643147930117,0.05587472397654907,1.0
2000,logit,0,-0.035062826658963264,0.06524313569776931,1.0
2000,flow,1,-0.7225197800800832,0.722582509631916,0.8
2000,probit,1,2.036046630696453e-05,0.05452819615662857,0.8
2000,logit,1,-0.03200632563392258,0.0625674291321842,0.8
2000,flow,2,0.7224158600605429,0.7224549393004857,-0.8
2000,probit,2,-0.0038549280704051133,0.030566772074834127,-0.8
2000,logit,2,0.02814351610874298,0.04126414847697217,-0.8
2000,flow,3,-0.45150526713451256,0.4515300027641689,0.5
2000,probit,3,0.002048427753008318,0.02502574281006125,0.5
2000,logit,3,-0.018728330107245242,0.03038992985697229,0.5
2000,flow,4,0.45171798485093567,0.4517464807492473,-0.5
2000,probit,4,0.00038723647127045376,0.02762764456700893,-0.5
2000,logit,4,0.020853822724058037,0.034312083336755846,-0.5
