n,model,coef,bias,rmse,true_beta_normalized
200,flow,0,-0.05922935296074996,0.2130274101602365,1.0
200,probit,0,0.037715369692715515,0.20734259684606743,1.0
200,logit,0,0.0052693433846201735,0.1939043823695191,1.0
200,flow,1,-0.12312861613117707,0.1725440881429646,0.8
200,probit,1,-0.026602030014644396,0.12398113086859684,0.8
200,logit,1,-0.054789555588798076,0.13182458776727818,0.8
200,flow,2,0.0979239771251304,0.13629398902006512,-0.8
200,probit,2,-0.0011163675482189438,0.09414462130625208,-0.8
200,logit,2,0.016446387883303593,0.10080926304090174,-0.8
200,flow,3,-0.09523764210553007,0.11367264634767604,0.5
200,probit,3,0.003014503663903745,0.06195598670045377,0.5
200,logit,3,-0.007707800478815102,0.06159243448254574,0.5
200,flow,4,0.05316842071310303,0.0943226457638609,-0.5
200,probit,4,-0.045501949160635574,0.09067759857056712,-0.5
200,logit,4,-0.03063646559798882,0.08795931087306899,-0.5
500,flow,0,-0.06327913925184722,0.13475237578797722,1.0
500,probit,0,0.033270290544533274,0.1241753647106293,1.0
500,logit,0,0.006054528427700723,0.11841448503344831,1.0
500,flow,1,-0.06988244344531301,0.12389170152434717,0.8
500,probit,1,0.02634640961880602,0.1065833400091722,0.8
500,logit,1,0.01081382935644285,0.09716394846528298,0.8
500,flow,2,0.05238111710518867,0.07200301357900918,-0.8
500,probit,2,-0.04631115722016789,0.0687644651698391,-0.8
500,logit,2,-0.02191277541252894,0.056193943887388444,-0.8
500,flow,3,-0.08606252968342137,0.10943197147986604,0.5
500,probit,3,0.011950893107183386,0.06951515296117904,0.5
500,logit,3,-0.0011092645794938793,0.06906736528115896,0.5
500,flow,4,0.08571923195263001,0.09589163092503163,-0.5
500,probit,4,-0.012451286475681106,0.045127687496365435,-0.5
500,logit,4,0.001958418662338357,0.04191927045161798,-0.5
1000,flow,0,-0.10249621367617312,0.12786914887569834,1.0
1000,probit,0,-0.0056564576887047965,0.07586864216143396,1.0
1000,logit,0,-0.0348641291763261,0.08594663376482696,1.0
1000,flow,1,-0.11286101558391595,0.14621595727187814,0.8
1000,probit,1,-0.016385735862647986,0.09322102095092058,0.8
1000,logit,1,-0.04025560137640046,0.09682491115942803,0.8
1000,flow,2,0.08190008302659846,0.09150222370813693,-0.8
1000,probit,2,-0.017108662968088707,0.04517614292267309,-0.8
1000,logit,2,0.0034478467155448,0.040590163226912813,-0.8
1000,flow,3,-0.09463604076066763,0.10051214262893177,0.5
1000,probit,3,0.0034959921064363795,0.03379714737292722,0.5
1000,logit,3,-0.007722734430609007,0.035465290112456145,0.5
1000,flow,4,0.10016905084166136,0.1066481214573314,-0.5
1000,probit,4,0.0020173412595261343,0.03710024034963469,-0.5
1000,logit,4,0.016734569937066058,0.039915100939537124,-0.5
2000,flow,0,-0.07681296927690245,0.08768809859248974,1.0
2000,probit,0,0.01961544397765409,0.04703737749615865,1.0
2000,logit,0,-0.007237664476514938,0.04612806283653944,1.0
2000,flow,1,-0.11170202258257153,0.11747236918441438,0.8
2000,probit,1,-0.015343265218567626,0.03989503903066497,0.8
2000,logit,1,-0.034981594866026075,0.05241984102164251,0.8
2000,flow,2,0.10842276345977961,0.11034178559067384,-0.8
2000,probit,2,0.010130722055562013,0.02250282786202662,-0.8
2000,logit,2,0.02895664466022837,0.034807020471495045,-0.8
2000,flow,3,-0.10096866799343829,0.1078644569461561,0.5
2000,probit,3,-0.0031750350877451095,0.03867709960922257,0.5
2000,logit,3,-0.016853238680981136,0.04420409211444472,0.5
2000,flow,4,0.10805128113404469,0.11064749034470708,-0.5
2000,probit,4,0.01023579527988549,0.025982231130425408,-0.5
2000,logit,4,0.02174526775315368,0.031361135676408344,-0.5
