"","abs","rel"
"hrts",0.482395389080123,1.37449935511262
"democ",0.350960796951846,1
"h1",-0.453303206371276,-1.29160638540911
"i1",-0.114805062179031,-0.327116484735994
"p1",-0.0333745883237752,-0.0950949183317315
"e1",-0.215283153906974,-0.613410830431046
"r1",-0.0895818177255738,-0.255247362393769
"male",-0.0328406866252803,-0.0935736609630112
"white",0.127523241474361,0.363354661209804
"age",0.259829162519179,0.740336712179363
"ed4",0.533966033854451,1.52144068081688
